description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
MAPS																																																																																																								0
t1 map upgrade mag to rare	1	4		100	18	361	0		4	t1me,mag	runs,qty=1	ggm4,qty=1	upma,qty=1				usetype,rar			100																																																																																				0
t1 map reroll rare	1	4		100	18	361	0		4	t1me,rar	runs,qty=1	ggm4,qty=1	rera,qty=1				usetype,rar			100																																																																																				0
t1 map imbue magic	1	4		100	18	361	0		3	t1me,nor,qty=1	jewg,qty=1	imma,qty=1					usetype,mag			100																																																																																				0
t1 map imbue rare	1	4		100	18	361	0		4	t1me,nor,qty=1	imra,qty=1	jewg,qty=1	runs,qty=1				usetype,rar			100																																																																																				0
t1 map scour magic	1	4		100	18	361	0		2	t1me,mag	scou,qty=1						usetype,nor			100																																																																																				0
t1 map scour rare	1	4		100	18	361	0		2	t1me,rar	scou,qty=1						usetype,nor			100																																																																																				0
t2 map upgrade mag to rare	1	4		100	18	361	0		4	t2me,mag	runs,qty=1	ggm4,qty=1	upma,qty=1				usetype,rar			100																																																																																				0
t2 map reroll rare	1	4		100	18	361	0		4	t2me,rar	runs,qty=1	ggm4,qty=1	rera,qty=1				usetype,rar			100																																																																																				0
t2 map imbue magic	1	4		100	18	361	0		3	t2me,nor,qty=1	jewg,qty=1	imma,qty=1					usetype,mag			100																																																																																				0
t2 map imbue rare	1	4		100	18	361	0		4	t2me,nor,qty=1	imra,qty=1	jewg,qty=1	runs,qty=1				usetype,rar			100																																																																																				0
t2 map scour magic	1	4		100	18	361	0		2	t2me,mag	scou,qty=1						usetype,nor			100																																																																																				0
t2 map scour rare	1	4		100	18	361	0		2	t2me,rar	scou,qty=1						usetype,nor			100																																																																																				0
t3 map upgrade mag to rare	1	4		100	18	361	0		4	t3me,mag	runs,qty=1	ggm4,qty=1	upma,qty=1				usetype,rar			100																																																																																				0
t3 map reroll rare	1	4		100	18	361	0		4	t3me,rar	runs,qty=1	ggm4,qty=1	rera,qty=1				usetype,rar			100																																																																																				0
t3 map imbue magic	1	4		100	18	361	0		3	t3me,nor,qty=1	jewg,qty=1	imma,qty=1					usetype,mag			100																																																																																				0
t3 map imbue rare	1	4		100	18	361	0		4	t3me,nor,qty=1	imra,qty=1	jewg,qty=1	runs,qty=1				usetype,rar			100																																																																																				0
t3 map scour magic	1	4		100	18	361	0		2	t3me,mag	scou,qty=1						usetype,nor			100																																																																																				0
